List name,Match type,Keyword
HHB - Informational & DIY,Phrase,how to sell a house
HHB - Informational & DIY,Phrase,how to flip
HHB - Informational & DIY,Phrase,diy repair
HHB - Informational & DIY,Phrase,how to fix
HHB - Informational & DIY,Phrase,repair myself
HHB - Informational & DIY,Phrase,real estate tips
HHB - Informational & DIY,Phrase,how to buy a house
HHB - Informational & DIY,Phrase,home buying tips
HHB - Informational & DIY,Exact,[real estate school]
HHB - Informational & DIY,Exact,[real estate license]
HHB - Informational & DIY,Exact,[real estate courses]
HHB - Informational & DIY,Exact,[real estate investing course]
HHB - Job Seekers,Phrase,real estate jobs
HHB - Job Seekers,Phrase,realtor jobs
HHB - Job Seekers,Phrase,real estate careers
HHB - Job Seekers,Phrase,real estate agent salary
HHB - Job Seekers,Phrase,real estate internship
HHB - Job Seekers,Exact,[jobs near me]
HHB - Buyers & Renters,Phrase,homes for sale
HHB - Buyers & Renters,Phrase,houses for sale
HHB - Buyers & Renters,Phrase,buy a house
HHB - Buyers & Renters,Phrase,buy a home
HHB - Buyers & Renters,Phrase,rental property
HHB - Buyers & Renters,Phrase,houses for rent
HHB - Buyers & Renters,Phrase,apartments for rent
HHB - Buyers & Renters,Phrase,rent to own
HHB - Buyers & Renters,Exact,[mls listings]
HHB - Buyers & Renters,Exact,[zillow homes for sale]
HHB - Free Intent,Exact,[free home valuation]
HHB - Free Intent,Phrase,free estimate
HHB - Free Intent,Phrase,free appraisal
HHB - Free Intent,Exact,[what is my home worth]
HHB - Free Intent,Exact,[home value calculator]
HHB - Free Intent,Exact,[zestimate]
